,ファイル,取引回数,総損益
0,ticks_20250819.xlsx,100,-9.0
1,ticks_20250820.xlsx,100,-15.0
2,ticks_20250821.xlsx,46,34.0
3,ticks_20250822.xlsx,100,16.0
4,ticks_20250825.xlsx,4,47.0
5,ticks_20250826.xlsx,64,49.0
6,ticks_20250827.xlsx,72,28.0
7,ticks_20250828.xlsx,100,-31.0
8,ticks_20250829.xlsx,100,-26.0
9,ticks_20250901.xlsx,78,5.0
10,ticks_20250902.xlsx,4,55.0
11,ticks_20250903.xlsx,44,121.0
12,ticks_20250904.xlsx,100,-27.0
13,ticks_20250905.xlsx,100,-5.0
14,ticks_20250908.xlsx,100,-36.0
15,ticks_20250909.xlsx,100,-26.0
16,ticks_20250910.xlsx,100,-3.0
17,ticks_20250911.xlsx,100,-10.0
18,ticks_20250912.xlsx,100,-8.0
19,ticks_20250916.xlsx,100,-22.0
20,ticks_20250917.xlsx,100,-23.0
21,ticks_20250918.xlsx,100,-7.0
22,ticks_20250919.xlsx,100,1.0
23,ticks_20250922.xlsx,26,45.0
24,ticks_20250924.xlsx,100,-45.0
25,ticks_20250925.xlsx,30,39.0
26,ticks_20250926.xlsx,24,-22.0
27,ticks_20250929.xlsx,100,-21.0
28,ticks_20250930.xlsx,32,23.0
29,ticks_20251001.xlsx,10,52.0
30,ticks_20251002.xlsx,4,40.0
31,ticks_20251003.xlsx,100,-5.0
32,ticks_20251006.xlsx,38,48.0
33,ticks_20251007.xlsx,34,216.0
34,ticks_20251008.xlsx,100,-128.0
35,ticks_20251009.xlsx,2,117.0
36,ticks_20251010.xlsx,100,-10.0
37,ticks_20251014.xlsx,100,69.0
38,ticks_20251015.xlsx,100,-72.0
39,ticks_20251016.xlsx,14,-28.0
40,ticks_20251017.xlsx,100,-116.0
41,ticks_20251020.xlsx,100,20.0
42,ticks_20251021.xlsx,100,-18.0
43,ticks_20251022.xlsx,100,-46.0
44,ticks_20251023.xlsx,64,-80.0
45,ticks_20251024.xlsx,100,6.0
46,ticks_20251027.xlsx,100,82.0
47,ticks_20251028.xlsx,100,-64.0
48,ticks_20251029.xlsx,100,3.0
49,ticks_20251030.xlsx,100,-44.0
50,ticks_20251031.xlsx,100,-27.0
51,ticks_20251104.xlsx,6,84.0
52,ticks_20251105.xlsx,100,171.0
53,ticks_20251106.xlsx,100,-2.0
54,ticks_20251107.xlsx,14,87.0
55,ticks_20251110.xlsx,100,-38.0
56,ticks_20251111.xlsx,100,25.0
57,ticks_20251112.xlsx,100,-23.0
58,ticks_20251113.xlsx,100,-18.0
59,ticks_20251114.xlsx,20,79.0
