,ファイル,取引回数,総損益
0,ticks_20250819.xlsx,98,111.0
1,ticks_20250820.xlsx,50,-19.0
2,ticks_20250821.xlsx,100,-26.0
3,ticks_20250822.xlsx,100,-35.0
4,ticks_20250825.xlsx,100,-32.0
5,ticks_20250826.xlsx,18,33.0
6,ticks_20250827.xlsx,68,-7.0
7,ticks_20250828.xlsx,100,-12.0
8,ticks_20250829.xlsx,30,10.0
9,ticks_20250901.xlsx,36,49.0
10,ticks_20250902.xlsx,74,-3.0
11,ticks_20250903.xlsx,14,113.0
12,ticks_20250904.xlsx,100,-49.0
13,ticks_20250905.xlsx,100,-62.0
14,ticks_20250908.xlsx,74,-5.0
15,ticks_20250909.xlsx,78,-30.0
16,ticks_20250910.xlsx,100,-10.0
17,ticks_20250911.xlsx,36,-38.0
18,ticks_20250912.xlsx,22,23.0
19,ticks_20250916.xlsx,90,5.0
20,ticks_20250917.xlsx,100,-34.0
21,ticks_20250918.xlsx,40,39.0
22,ticks_20250919.xlsx,32,43.0
23,ticks_20250922.xlsx,100,3.0
24,ticks_20250924.xlsx,100,-80.0
25,ticks_20250925.xlsx,22,42.0
26,ticks_20250926.xlsx,88,-27.0
27,ticks_20250929.xlsx,100,-64.0
28,ticks_20250930.xlsx,26,41.0
29,ticks_20251001.xlsx,62,174.0
30,ticks_20251002.xlsx,18,6.0
31,ticks_20251003.xlsx,100,-36.0
32,ticks_20251006.xlsx,100,158.0
33,ticks_20251007.xlsx,100,-38.0
34,ticks_20251008.xlsx,100,-143.0
35,ticks_20251009.xlsx,72,156.0
36,ticks_20251010.xlsx,100,43.0
37,ticks_20251014.xlsx,100,6.0
38,ticks_20251015.xlsx,100,-74.0
39,ticks_20251016.xlsx,100,-88.0
40,ticks_20251017.xlsx,74,21.0
41,ticks_20251020.xlsx,76,-24.0
42,ticks_20251021.xlsx,100,113.0
43,ticks_20251022.xlsx,100,-21.0
44,ticks_20251023.xlsx,100,-88.0
45,ticks_20251024.xlsx,100,-10.0
46,ticks_20251027.xlsx,12,34.0
47,ticks_20251028.xlsx,100,-42.0
48,ticks_20251029.xlsx,60,91.0
49,ticks_20251030.xlsx,100,-86.0
50,ticks_20251031.xlsx,100,-99.0
51,ticks_20251104.xlsx,100,-10.0
52,ticks_20251105.xlsx,100,13.0
53,ticks_20251106.xlsx,100,-64.0
54,ticks_20251107.xlsx,34,110.0
55,ticks_20251110.xlsx,28,57.0
56,ticks_20251111.xlsx,86,49.0
57,ticks_20251112.xlsx,100,-9.0
58,ticks_20251113.xlsx,100,-52.0
59,ticks_20251114.xlsx,30,49.0
