,ファイル,取引回数,総損益
0,ticks_20250819.xlsx,8,99.0
1,ticks_20250820.xlsx,26,-17.0
2,ticks_20250821.xlsx,6,46.0
3,ticks_20250822.xlsx,8,26.0
4,ticks_20250825.xlsx,34,29.0
5,ticks_20250826.xlsx,18,40.0
6,ticks_20250827.xlsx,28,17.0
7,ticks_20250828.xlsx,112,-89.0
8,ticks_20250829.xlsx,42,0.0
9,ticks_20250901.xlsx,48,12.0
10,ticks_20250902.xlsx,4,53.0
11,ticks_20250903.xlsx,10,127.0
12,ticks_20250904.xlsx,18,-1.0
13,ticks_20250905.xlsx,50,-71.0
14,ticks_20250908.xlsx,120,-36.0
15,ticks_20250909.xlsx,62,-3.0
16,ticks_20250910.xlsx,6,-7.0
17,ticks_20250911.xlsx,24,-30.0
18,ticks_20250912.xlsx,40,4.0
19,ticks_20250916.xlsx,48,20.0
20,ticks_20250917.xlsx,24,43.0
21,ticks_20250918.xlsx,28,25.0
22,ticks_20250919.xlsx,50,24.0
23,ticks_20250922.xlsx,30,12.0
24,ticks_20250924.xlsx,132,-176.0
25,ticks_20250925.xlsx,26,59.0
26,ticks_20250926.xlsx,30,-19.0
27,ticks_20250929.xlsx,52,-40.0
28,ticks_20250930.xlsx,6,42.0
29,ticks_20251001.xlsx,10,54.0
30,ticks_20251002.xlsx,2,39.0
31,ticks_20251003.xlsx,34,-16.0
32,ticks_20251006.xlsx,78,111.0
33,ticks_20251007.xlsx,38,23.0
34,ticks_20251008.xlsx,44,-113.0
35,ticks_20251009.xlsx,6,125.0
36,ticks_20251010.xlsx,4,104.0
37,ticks_20251014.xlsx,16,80.0
38,ticks_20251015.xlsx,84,-128.0
39,ticks_20251016.xlsx,16,-9.0
40,ticks_20251017.xlsx,82,-60.0
41,ticks_20251020.xlsx,10,-14.0
42,ticks_20251021.xlsx,10,189.0
43,ticks_20251022.xlsx,54,-83.0
44,ticks_20251023.xlsx,34,-96.0
45,ticks_20251024.xlsx,14,52.0
46,ticks_20251027.xlsx,14,43.0
47,ticks_20251028.xlsx,56,46.0
48,ticks_20251029.xlsx,6,80.0
49,ticks_20251030.xlsx,72,-73.0
50,ticks_20251031.xlsx,134,-207.0
51,ticks_20251104.xlsx,14,90.0
52,ticks_20251105.xlsx,10,32.0
53,ticks_20251106.xlsx,40,-45.0
54,ticks_20251107.xlsx,6,88.0
55,ticks_20251110.xlsx,6,44.0
56,ticks_20251111.xlsx,20,47.0
57,ticks_20251112.xlsx,42,-50.0
