,ファイル,取引回数,総損益
0,ticks_20250819.xlsx,100,68.0
1,ticks_20250820.xlsx,92,-35.0
2,ticks_20250821.xlsx,94,30.0
3,ticks_20250822.xlsx,58,32.0
4,ticks_20250825.xlsx,100,45.0
5,ticks_20250826.xlsx,16,44.0
6,ticks_20250827.xlsx,88,15.0
7,ticks_20250828.xlsx,100,-109.0
8,ticks_20250829.xlsx,82,1.0
9,ticks_20250901.xlsx,30,-35.0
10,ticks_20250902.xlsx,44,58.0
11,ticks_20250903.xlsx,10,127.0
12,ticks_20250904.xlsx,100,12.0
13,ticks_20250905.xlsx,94,-33.0
14,ticks_20250908.xlsx,70,-43.0
15,ticks_20250909.xlsx,68,-15.0
16,ticks_20250910.xlsx,60,-10.0
17,ticks_20250911.xlsx,80,-16.0
18,ticks_20250912.xlsx,100,-14.0
19,ticks_20250916.xlsx,96,25.0
20,ticks_20250917.xlsx,92,41.0
21,ticks_20250918.xlsx,82,35.0
22,ticks_20250919.xlsx,64,21.0
23,ticks_20250922.xlsx,14,53.0
24,ticks_20250924.xlsx,100,-118.0
25,ticks_20250925.xlsx,26,35.0
26,ticks_20250926.xlsx,8,-15.0
27,ticks_20250929.xlsx,94,-55.0
28,ticks_20250930.xlsx,68,4.0
29,ticks_20251001.xlsx,64,53.0
30,ticks_20251002.xlsx,100,55.0
31,ticks_20251003.xlsx,100,-25.0
32,ticks_20251006.xlsx,64,32.0
33,ticks_20251007.xlsx,92,73.0
34,ticks_20251008.xlsx,60,-128.0
35,ticks_20251009.xlsx,78,109.0
36,ticks_20251010.xlsx,2,104.0
37,ticks_20251014.xlsx,44,73.0
38,ticks_20251015.xlsx,80,-127.0
39,ticks_20251016.xlsx,62,-52.0
40,ticks_20251017.xlsx,54,-16.0
41,ticks_20251020.xlsx,100,1.0
42,ticks_20251021.xlsx,54,190.0
43,ticks_20251022.xlsx,84,-53.0
44,ticks_20251023.xlsx,60,-65.0
45,ticks_20251024.xlsx,70,63.0
46,ticks_20251027.xlsx,12,37.0
47,ticks_20251028.xlsx,38,23.0
48,ticks_20251029.xlsx,32,92.0
49,ticks_20251030.xlsx,94,-85.0
50,ticks_20251031.xlsx,86,-203.0
51,ticks_20251104.xlsx,100,56.0
52,ticks_20251105.xlsx,100,36.0
53,ticks_20251106.xlsx,82,-65.0
54,ticks_20251107.xlsx,6,87.0
55,ticks_20251110.xlsx,46,43.0
56,ticks_20251111.xlsx,86,37.0
57,ticks_20251112.xlsx,92,-38.0
58,ticks_20251113.xlsx,100,-32.0
59,ticks_20251114.xlsx,12,69.0
