,ファイル,取引回数,総損益
0,ticks_20250819.xlsx,56,-25.0
1,ticks_20250820.xlsx,100,-11.0
2,ticks_20250821.xlsx,100,-37.0
3,ticks_20250822.xlsx,100,-18.0
4,ticks_20250825.xlsx,100,-62.0
5,ticks_20250826.xlsx,100,-49.0
6,ticks_20250827.xlsx,100,-29.0
7,ticks_20250828.xlsx,100,60.0
8,ticks_20250829.xlsx,100,-28.0
9,ticks_20250901.xlsx,100,-25.0
10,ticks_20250902.xlsx,100,-49.0
11,ticks_20250903.xlsx,100,-38.0
12,ticks_20250904.xlsx,88,13.0
13,ticks_20250905.xlsx,100,-36.0
14,ticks_20250908.xlsx,36,34.0
15,ticks_20250909.xlsx,100,6.0
16,ticks_20250910.xlsx,100,-5.0
17,ticks_20250911.xlsx,78,6.0
18,ticks_20250912.xlsx,70,-32.0
19,ticks_20250916.xlsx,84,-40.0
20,ticks_20250917.xlsx,100,-38.0
21,ticks_20250918.xlsx,100,-21.0
22,ticks_20250919.xlsx,100,9.0
23,ticks_20250922.xlsx,100,-36.0
24,ticks_20250924.xlsx,28,164.0
25,ticks_20250925.xlsx,100,-43.0
26,ticks_20250926.xlsx,100,-21.0
27,ticks_20250929.xlsx,100,-43.0
28,ticks_20250930.xlsx,88,-39.0
29,ticks_20251001.xlsx,86,-31.0
30,ticks_20251002.xlsx,100,-79.0
31,ticks_20251003.xlsx,100,-57.0
32,ticks_20251006.xlsx,18,-21.0
33,ticks_20251007.xlsx,100,-23.0
34,ticks_20251008.xlsx,2,102.0
35,ticks_20251009.xlsx,92,-141.0
36,ticks_20251010.xlsx,100,-122.0
37,ticks_20251014.xlsx,100,-10.0
38,ticks_20251015.xlsx,10,119.0
39,ticks_20251016.xlsx,78,22.0
40,ticks_20251017.xlsx,6,71.0
41,ticks_20251020.xlsx,100,-64.0
42,ticks_20251021.xlsx,100,-88.0
43,ticks_20251022.xlsx,100,81.0
44,ticks_20251023.xlsx,100,-44.0
45,ticks_20251024.xlsx,68,-56.0
46,ticks_20251027.xlsx,100,-50.0
47,ticks_20251028.xlsx,74,-70.0
48,ticks_20251029.xlsx,100,-91.0
49,ticks_20251030.xlsx,72,72.0
50,ticks_20251031.xlsx,32,156.0
51,ticks_20251104.xlsx,76,-96.0
52,ticks_20251105.xlsx,100,-24.0
53,ticks_20251106.xlsx,100,-4.0
54,ticks_20251107.xlsx,100,-81.0
55,ticks_20251110.xlsx,90,-55.0
56,ticks_20251111.xlsx,94,-55.0
57,ticks_20251112.xlsx,16,69.0
58,ticks_20251113.xlsx,76,-4.0
