,ファイル,取引回数,総損益
0,ticks_20250819.xlsx,8,98.0
1,ticks_20250820.xlsx,20,-21.0
2,ticks_20250821.xlsx,4,42.0
3,ticks_20250822.xlsx,8,26.0
4,ticks_20250825.xlsx,24,25.0
5,ticks_20250826.xlsx,22,40.0
6,ticks_20250827.xlsx,28,21.0
7,ticks_20250828.xlsx,112,-97.0
8,ticks_20250829.xlsx,40,5.0
9,ticks_20250901.xlsx,44,-8.0
10,ticks_20250902.xlsx,2,58.0
11,ticks_20250903.xlsx,10,130.0
12,ticks_20250904.xlsx,28,-1.0
13,ticks_20250905.xlsx,30,-38.0
14,ticks_20250908.xlsx,96,-62.0
15,ticks_20250909.xlsx,42,13.0
16,ticks_20250910.xlsx,4,8.0
17,ticks_20250911.xlsx,22,-5.0
18,ticks_20250912.xlsx,28,16.0
19,ticks_20250916.xlsx,54,14.0
20,ticks_20250917.xlsx,22,43.0
21,ticks_20250918.xlsx,16,35.0
22,ticks_20250919.xlsx,44,34.0
23,ticks_20250922.xlsx,18,44.0
24,ticks_20250924.xlsx,122,-174.0
25,ticks_20250925.xlsx,32,56.0
26,ticks_20250926.xlsx,18,8.0
27,ticks_20250929.xlsx,50,-52.0
28,ticks_20250930.xlsx,6,44.0
29,ticks_20251001.xlsx,14,55.0
30,ticks_20251002.xlsx,6,38.0
31,ticks_20251003.xlsx,42,-17.0
32,ticks_20251006.xlsx,1294,12.0
33,ticks_20251007.xlsx,34,43.0
34,ticks_20251008.xlsx,58,-133.0
35,ticks_20251009.xlsx,12,114.0
36,ticks_20251010.xlsx,2,104.0
37,ticks_20251014.xlsx,12,93.0
38,ticks_20251015.xlsx,86,-107.0
39,ticks_20251016.xlsx,44,-81.0
40,ticks_20251017.xlsx,56,-89.0
41,ticks_20251020.xlsx,28,-25.0
42,ticks_20251021.xlsx,14,184.0
43,ticks_20251022.xlsx,54,-60.0
44,ticks_20251023.xlsx,42,-92.0
45,ticks_20251024.xlsx,16,44.0
46,ticks_20251027.xlsx,32,28.0
47,ticks_20251028.xlsx,64,46.0
48,ticks_20251029.xlsx,36,43.0
49,ticks_20251031.xlsx,66,11.0
50,ticks_20251104.xlsx,12,92.0
51,ticks_20251105.xlsx,12,31.0
