,ファイル,取引回数,総損益
0,ticks_20250819.xlsx,98,-97.0
1,ticks_20250820.xlsx,18,21.0
2,ticks_20250821.xlsx,70,-41.0
3,ticks_20250822.xlsx,56,-28.0
4,ticks_20250825.xlsx,56,-49.0
5,ticks_20250826.xlsx,66,-42.0
6,ticks_20250827.xlsx,52,-29.0
7,ticks_20250828.xlsx,2,97.0
8,ticks_20250829.xlsx,50,-6.0
9,ticks_20250901.xlsx,48,7.0
10,ticks_20250902.xlsx,76,-60.0
11,ticks_20250903.xlsx,100,-108.0
12,ticks_20250904.xlsx,26,5.0
13,ticks_20250905.xlsx,38,38.0
14,ticks_20250908.xlsx,6,39.0
15,ticks_20250909.xlsx,28,-5.0
16,ticks_20250910.xlsx,20,4.0
17,ticks_20250911.xlsx,32,5.0
18,ticks_20250912.xlsx,22,-11.0
19,ticks_20250916.xlsx,46,-13.0
20,ticks_20250917.xlsx,74,-50.0
21,ticks_20250918.xlsx,66,-36.0
22,ticks_20250919.xlsx,100,-89.0
23,ticks_20250922.xlsx,76,-46.0
24,ticks_20250924.xlsx,4,177.0
25,ticks_20250925.xlsx,64,-38.0
26,ticks_20250926.xlsx,8,22.0
27,ticks_20250929.xlsx,20,37.0
28,ticks_20250930.xlsx,26,-44.0
29,ticks_20251001.xlsx,52,-41.0
30,ticks_20251002.xlsx,62,-31.0
31,ticks_20251003.xlsx,34,5.0
32,ticks_20251006.xlsx,22,-21.0
33,ticks_20251007.xlsx,98,-77.0
34,ticks_20251008.xlsx,2,109.0
35,ticks_20251009.xlsx,84,-116.0
36,ticks_20251010.xlsx,90,-109.0
37,ticks_20251014.xlsx,66,-103.0
38,ticks_20251015.xlsx,2,121.0
39,ticks_20251016.xlsx,10,29.0
40,ticks_20251017.xlsx,4,70.0
41,ticks_20251020.xlsx,40,12.0
42,ticks_20251021.xlsx,100,-175.0
43,ticks_20251022.xlsx,46,40.0
44,ticks_20251023.xlsx,44,77.0
45,ticks_20251024.xlsx,58,-57.0
46,ticks_20251027.xlsx,96,-51.0
47,ticks_20251028.xlsx,20,-24.0
48,ticks_20251029.xlsx,78,-93.0
49,ticks_20251031.xlsx,2,174.0
50,ticks_20251104.xlsx,60,-66.0
51,ticks_20251105.xlsx,88,-25.0
52,ticks_20251106.xlsx,48,52.0
53,ticks_20251107.xlsx,94,-94.0
54,ticks_20251110.xlsx,72,-40.0
55,ticks_20251111.xlsx,52,-46.0
56,ticks_20251112.xlsx,46,42.0
57,ticks_20251113.xlsx,40,7.0
58,ticks_20251114.xlsx,82,-60.0
